Week,bubble
2004-01-10,39
2004-01-17,39
2004-01-24,38
2004-01-31,41
2004-02-07,36
2004-02-14,40
2004-02-21,38
2004-02-28,43
2004-03-06,43
2004-03-13,42
2004-03-20,42
2004-03-27,44
2004-04-03,44
2004-04-10,37
2004-04-17,42
2004-04-24,42
2004-05-01,45
2004-05-08,44
2004-05-15,48
2004-05-22,45
2004-05-29,44
2004-06-05,41
2004-06-12,41
2004-06-19,37
2004-06-26,35
2004-07-03,31
2004-07-10,31
2004-07-17,31
2004-07-24,33
2004-07-31,33
2004-08-07,34
2004-08-14,32
2004-08-21,33
2004-08-28,34
2004-09-04,35
2004-09-11,34
2004-09-18,35
2004-09-25,36
2004-10-02,38
2004-10-09,36
2004-10-16,37
2004-10-23,37
2004-10-30,35
2004-11-06,37
2004-11-13,41
2004-11-20,40
2004-11-27,40
2004-12-04,42
2004-12-11,45
2004-12-18,47
2004-12-25,43
2005-01-01,39
2005-01-08,39
2005-01-15,39
2005-01-22,42
2005-01-29,44
2005-02-05,48
2005-02-12,44
2005-02-19,47
2005-02-26,43
2005-03-05,50
2005-03-12,48
2005-03-19,52
2005-03-26,52
2005-04-02,47
2005-04-09,52
2005-04-16,50
2005-04-23,52
2005-04-30,56
2005-05-07,54
2005-05-14,56
2005-05-21,58
2005-05-28,66
2005-06-04,60
2005-06-11,58
2005-06-18,57
2005-06-25,49
2005-07-02,44
2005-07-09,45
2005-07-16,40
2005-07-23,40
2005-07-30,40
2005-08-06,41
2005-08-13,41
2005-08-20,43
2005-08-27,41
2005-09-03,39
2005-09-10,40
2005-09-17,39
2005-09-24,40
2005-10-01,46
2005-10-08,42
2005-10-15,44
2005-10-22,45
2005-10-29,43
2005-11-05,45
2005-11-12,47
2005-11-19,51
2005-11-26,51
2005-12-03,50
2005-12-10,52
2005-12-17,52
2005-12-24,52
2005-12-31,46
2006-01-07,46
2006-01-14,48
2006-01-21,48
2006-01-28,56
2006-02-04,56
2006-02-11,57
2006-02-18,52
2006-02-25,51
2006-03-04,54
2006-03-11,57
2006-03-18,53
2006-03-25,53
2006-04-01,53
2006-04-08,53
2006-04-15,57
2006-04-22,52
2006-04-29,53
2006-05-06,55
2006-05-13,60
2006-05-20,60
2006-05-27,59
2006-06-03,55
2006-06-10,52
2006-06-17,47
2006-06-24,48
2006-07-01,42
2006-07-08,43
2006-07-15,38
2006-07-22,39
2006-07-29,40
2006-08-05,38
2006-08-12,39
2006-08-19,39
2006-08-26,42
2006-09-02,43
2006-09-09,45
2006-09-16,44
2006-09-23,49
2006-09-30,48
2006-10-07,47
2006-10-14,48
2006-10-21,49
2006-10-28,49
2006-11-04,52
2006-11-11,51
2006-11-18,53
2006-11-25,52
2006-12-02,51
2006-12-09,53
2006-12-16,55
2006-12-23,58
2006-12-30,51
2007-01-06,47
2007-01-13,49
2007-01-20,48
2007-01-27,50
2007-02-03,49
2007-02-10,51
2007-02-17,53
2007-02-24,53
2007-03-03,55
2007-03-10,57
2007-03-17,58
2007-03-24,59
2007-03-31,60
2007-04-07,57
2007-04-14,55
2007-04-21,58
2007-04-28,57
2007-05-05,61
2007-05-12,59
2007-05-19,63
2007-05-26,66
2007-06-02,61
2007-06-09,60
2007-06-16,57
2007-06-23,50
2007-06-30,49
2007-07-07,46
2007-07-14,45
2007-07-21,44
2007-07-28,43
2007-08-04,41
2007-08-11,44
2007-08-18,43
2007-08-25,43
2007-09-01,45
2007-09-08,47
2007-09-15,46
2007-09-22,50
2007-09-29,52
2007-10-06,53
2007-10-13,52
2007-10-20,54
2007-10-27,54
2007-11-03,56
2007-11-10,57
2007-11-17,59
2007-11-24,66
2007-12-01,62
2007-12-08,64
2007-12-15,69
2007-12-22,74
2007-12-29,62
2008-01-05,57
2008-01-12,59
2008-01-19,64
2008-01-26,66
2008-02-02,68
2008-02-09,71
2008-02-16,70
2008-02-23,66
2008-03-01,73
2008-03-08,75
2008-03-15,75
2008-03-22,70
2008-03-29,69
2008-04-05,69
2008-04-12,73
2008-04-19,72
2008-04-26,75
2008-05-03,74
2008-05-10,77
2008-05-17,77
2008-05-24,76
2008-05-31,74
2008-06-07,68
2008-06-14,62
2008-06-21,56
2008-06-28,50
2008-07-05,49
2008-07-12,50
2008-07-19,48
2008-07-26,50
2008-08-02,48
2008-08-09,49
2008-08-16,48
2008-08-23,47
2008-08-30,49
2008-09-06,52
2008-09-13,53
2008-09-20,60
2008-09-27,59
2008-10-04,62
2008-10-11,62
2008-10-18,62
2008-10-25,65
2008-11-01,64
2008-11-08,63
2008-11-15,68
2008-11-22,69
2008-11-29,70
2008-12-06,70
2008-12-13,78
2008-12-20,82
2008-12-27,76
2009-01-03,63
2009-01-10,69
2009-01-17,74
2009-01-24,73
2009-01-31,77
2009-02-07,77
2009-02-14,83
2009-02-21,81
2009-02-28,90
2009-03-07,87
2009-03-14,92
2009-03-21,87
2009-03-28,89
2009-04-04,90
2009-04-11,88
2009-04-18,86
2009-04-25,93
2009-05-02,96
2009-05-09,99
2009-05-16,98
2009-05-23,100
2009-05-30,90
2009-06-06,88
2009-06-13,77
2009-06-20,70
2009-06-27,66
2009-07-04,65
2009-07-11,62
2009-07-18,61
2009-07-25,63
2009-08-01,61
2009-08-08,61
2009-08-15,60
2009-08-22,61
2009-08-29,60
2009-09-05,63
2009-09-12,66
2009-09-19,70
2009-09-26,69
2009-10-03,71
2009-10-10,72
2009-10-17,73
2009-10-24,73
2009-10-31,76
2009-11-07,75
2009-11-14,79
2009-11-21,79
2009-11-28,78
2009-12-05,81
2009-12-12,83
2009-12-19,90
2009-12-26,87
2010-01-02,72
2010-01-09,75
2010-01-16,78
2010-01-23,77
2010-01-30,82
2010-02-06,78
2010-02-13,78
2010-02-20,79
2010-02-27,78
2010-03-06,84
2010-03-13,84
2010-03-20,80
2010-03-27,81
2010-04-03,78
2010-04-10,78
2010-04-17,81
2010-04-24,82
2010-05-01,82
2010-05-08,88
2010-05-15,87
2010-05-22,87
2010-05-29,83
2010-06-05,78
2010-06-12,71
2010-06-19,68
2010-06-26,62
2010-07-03,58
2010-07-10,56
2010-07-17,60
2010-07-24,56
2010-07-31,54
2010-08-07,53
2010-08-14,53
2010-08-21,58
2010-08-28,58
2010-09-04,58
2010-09-11,59
2010-09-18,61
2010-09-25,62
2010-10-02,61
2010-10-09,63
2010-10-16,62
2010-10-23,65
2010-10-30,65
2010-11-06,64
2010-11-13,67
2010-11-20,71
2010-11-27,66
2010-12-04,65
2010-12-11,72
2010-12-18,70
2010-12-25,67
2011-01-01,59
2011-01-08,65
2011-01-15,65
2011-01-22,75
2011-01-29,74
2011-02-05,73
2011-02-12,71
2011-02-19,72
2011-02-26,70
2011-03-05,75
2011-03-12,74
2011-03-19,68
2011-03-26,70
2011-04-02,71
2011-04-09,68
2011-04-16,72
2011-04-23,74
2011-04-30,70
2011-05-07,70
2011-05-14,72
2011-05-21,73
2011-05-28,69
2011-06-04,66
2011-06-11,63
2011-06-18,60
2011-06-25,60
2011-07-02,55
2011-07-09,55
2011-07-16,57
2011-07-23,55
2011-07-30,54
2011-08-06,53
2011-08-13,55
2011-08-20,54
2011-08-27,54
2011-09-03,54
2011-09-10,55
2011-09-17,54
2011-09-24,56
2011-10-01,56
2011-10-08,55
2011-10-15,57
2011-10-22,57
2011-10-29,58
2011-11-05,60
2011-11-12,57
2011-11-19,57
2011-11-26,57
2011-12-03,58
2011-12-10,62
2011-12-17,60
2011-12-24,58
2011-12-31,53
2012-01-07,53
2012-01-14,54
2012-01-21,55
2012-01-28,57
2012-02-04,55
2012-02-11,55
2012-02-18,56
2012-02-25,58
2012-03-03,59
2012-03-10,57
2012-03-17,56
2012-03-24,58
2012-03-31,55
2012-04-07,54
2012-04-14,54
2012-04-21,56
2012-04-28,57
2012-05-05,56
2012-05-12,55
2012-05-19,58
2012-05-26,56
2012-06-02,55
2012-06-09,53
2012-06-16,54
2012-06-23,57
2012-06-30,51
2012-07-07,52
2012-07-14,53
2012-07-21,53
2012-07-28,52
2012-08-04,52
2012-08-11,52
2012-08-18,50
2012-08-25,52
2012-09-01,53
2012-09-08,55
2012-09-15,53
2012-09-22,53
2012-09-29,53
2012-10-06,52
2012-10-13,51
2012-10-20,51
2012-10-27,52
2012-11-03,51
2012-11-10,53
2012-11-17,53
2012-11-24,53
2012-12-01,55
2012-12-08,56
2012-12-15,54
2012-12-22,54
2012-12-29,52
2013-01-05,51
2013-01-12,52
2013-01-19,52
2013-01-26,54
2013-02-02,53
2013-02-09,52
2013-02-16,53
2013-02-23,50
2013-03-02,51
2013-03-09,58
2013-03-16,61
2013-03-23,57
2013-03-30,54
2013-04-06,54
2013-04-13,54
2013-04-20,53
2013-04-27,56
2013-05-04,56
2013-05-11,54
2013-05-18,54
2013-05-25,54
2013-06-01,60
2013-06-08,60
2013-06-15,58
2013-06-22,56
2013-06-29,58
2013-07-06,60
2013-07-13,57
2013-07-20,56
2013-07-27,58
2013-08-03,57
2013-08-10,56
2013-08-17,57
2013-08-24,57
2013-08-31,56
2013-09-07,55
2013-09-14,54
2013-09-21,51
2013-09-28,52
2013-10-05,51
2013-10-12,51
2013-10-19,51
2013-10-26,52
2013-11-02,52
2013-11-09,53
2013-11-16,53
2013-11-23,54
2013-11-30,54
2013-12-07,55
2013-12-14,55
2013-12-21,55
2013-12-28,54
2014-01-04,52
