Week,crisis
2004-01-10,36
2004-01-17,31
2004-01-24,33
2004-01-31,36
2004-02-07,36
2004-02-14,39
2004-02-21,39
2004-02-28,41
2004-03-06,44
2004-03-13,41
2004-03-20,37
2004-03-27,39
2004-04-03,48
2004-04-10,42
2004-04-17,41
2004-04-24,52
2004-05-01,48
2004-05-08,56
2004-05-15,48
2004-05-22,46
2004-05-29,44
2004-06-05,43
2004-06-12,43
2004-06-19,32
2004-06-26,31
2004-07-03,25
2004-07-10,32
2004-07-17,31
2004-07-24,30
2004-07-31,30
2004-08-07,28
2004-08-14,25
2004-08-21,29
2004-08-28,27
2004-09-04,32
2004-09-11,34
2004-09-18,39
2004-09-25,37
2004-10-02,38
2004-10-09,37
2004-10-16,37
2004-10-23,39
2004-10-30,44
2004-11-06,35
2004-11-13,38
2004-11-20,45
2004-11-27,37
2004-12-04,49
2004-12-11,43
2004-12-18,43
2004-12-25,25
2005-01-01,22
2005-01-08,31
2005-01-15,32
2005-01-22,31
2005-01-29,31
2005-02-05,34
2005-02-12,33
2005-02-19,36
2005-02-26,36
2005-03-05,38
2005-03-12,36
2005-03-19,35
2005-03-26,38
2005-04-02,42
2005-04-09,43
2005-04-16,48
2005-04-23,46
2005-04-30,47
2005-05-07,52
2005-05-14,46
2005-05-21,42
2005-05-28,44
2005-06-04,34
2005-06-11,33
2005-06-18,30
2005-06-25,26
2005-07-02,25
2005-07-09,24
2005-07-16,25
2005-07-23,26
2005-07-30,27
2005-08-06,24
2005-08-13,23
2005-08-20,24
2005-08-27,26
2005-09-03,37
2005-09-10,32
2005-09-17,30
2005-09-24,30
2005-10-01,32
2005-10-08,33
2005-10-15,39
2005-10-22,37
2005-10-29,37
2005-11-05,36
2005-11-12,35
2005-11-19,38
2005-11-26,30
2005-12-03,41
2005-12-10,38
2005-12-17,37
2005-12-24,27
2005-12-31,21
2006-01-07,24
2006-01-14,28
2006-01-21,30
2006-01-28,32
2006-02-04,34
2006-02-11,32
2006-02-18,32
2006-02-25,34
2006-03-04,33
2006-03-11,34
2006-03-18,31
2006-03-25,37
2006-04-01,35
2006-04-08,40
2006-04-15,39
2006-04-22,40
2006-04-29,51
2006-05-06,49
2006-05-13,47
2006-05-20,42
2006-05-27,38
2006-06-03,35
2006-06-10,36
2006-06-17,28
2006-06-24,25
2006-07-01,26
2006-07-08,27
2006-07-15,27
2006-07-22,32
2006-07-29,29
2006-08-05,26
2006-08-12,24
2006-08-19,21
2006-08-26,23
2006-09-02,23
2006-09-09,24
2006-09-16,24
2006-09-23,28
2006-09-30,28
2006-10-07,30
2006-10-14,30
2006-10-21,29
2006-10-28,32
2006-11-04,29
2006-11-11,30
2006-11-18,30
2006-11-25,24
2006-12-02,34
2006-12-09,35
2006-12-16,34
2006-12-23,25
2006-12-30,20
2007-01-06,23
2007-01-13,25
2007-01-20,27
2007-01-27,29
2007-02-03,27
2007-02-10,26
2007-02-17,28
2007-02-24,29
2007-03-03,30
2007-03-10,30
2007-03-17,30
2007-03-24,33
2007-03-31,32
2007-04-07,32
2007-04-14,34
2007-04-21,36
2007-04-28,38
2007-05-05,38
2007-05-12,39
2007-05-19,35
2007-05-26,33
2007-06-02,31
2007-06-09,28
2007-06-16,26
2007-06-23,24
2007-06-30,22
2007-07-07,20
2007-07-14,23
2007-07-21,23
2007-07-28,23
2007-08-04,23
2007-08-11,23
2007-08-18,26
2007-08-25,27
2007-09-01,27
2007-09-08,30
2007-09-15,32
2007-09-22,35
2007-09-29,34
2007-10-06,35
2007-10-13,34
2007-10-20,32
2007-10-27,36
2007-11-03,37
2007-11-10,39
2007-11-17,41
2007-11-24,38
2007-12-01,42
2007-12-08,39
2007-12-15,43
2007-12-22,35
2007-12-29,24
2008-01-05,26
2008-01-12,31
2008-01-19,34
2008-01-26,33
2008-02-02,35
2008-02-09,35
2008-02-16,37
2008-02-23,39
2008-03-01,40
2008-03-08,40
2008-03-15,42
2008-03-22,47
2008-03-29,61
2008-04-05,64
2008-04-12,63
2008-04-19,60
2008-04-26,58
2008-05-03,58
2008-05-10,57
2008-05-17,50
2008-05-24,47
2008-05-31,46
2008-06-07,40
2008-06-14,41
2008-06-21,36
2008-06-28,38
2008-07-05,34
2008-07-12,34
2008-07-19,39
2008-07-26,36
2008-08-02,34
2008-08-09,32
2008-08-16,31
2008-08-23,31
2008-08-30,31
2008-09-06,32
2008-09-13,37
2008-09-20,72
2008-09-27,95
2008-10-04,100
2008-10-11,99
2008-10-18,78
2008-10-25,77
2008-11-01,67
2008-11-08,58
2008-11-15,60
2008-11-22,66
2008-11-29,56
2008-12-06,60
2008-12-13,57
2008-12-20,48
2008-12-27,35
2009-01-03,38
2009-01-10,47
2009-01-17,49
2009-01-24,49
2009-01-31,55
2009-02-07,53
2009-02-14,55
2009-02-21,61
2009-02-28,60
2009-03-07,61
2009-03-14,54
2009-03-21,55
2009-03-28,55
2009-04-04,55
2009-04-11,50
2009-04-18,51
2009-04-25,55
2009-05-02,56
2009-05-09,54
2009-05-16,48
2009-05-23,47
2009-05-30,44
2009-06-06,42
2009-06-13,38
2009-06-20,37
2009-06-27,35
2009-07-04,36
2009-07-11,35
2009-07-18,33
2009-07-25,34
2009-08-01,34
2009-08-08,31
2009-08-15,30
2009-08-22,32
2009-08-29,32
2009-09-05,33
2009-09-12,35
2009-09-19,39
2009-09-26,38
2009-10-03,40
2009-10-10,40
2009-10-17,38
2009-10-24,40
2009-10-31,39
2009-11-07,40
2009-11-14,41
2009-11-21,42
2009-11-28,40
2009-12-05,53
2009-12-12,44
2009-12-19,38
2009-12-26,24
2010-01-02,25
2010-01-09,31
2010-01-16,38
2010-01-23,35
2010-01-30,35
2010-02-06,34
2010-02-13,39
2010-02-20,42
2010-02-27,45
2010-03-06,42
2010-03-13,41
2010-03-20,38
2010-03-27,41
2010-04-03,38
2010-04-10,41
2010-04-17,45
2010-04-24,47
2010-05-01,52
2010-05-08,60
2010-05-15,50
2010-05-22,46
2010-05-29,44
2010-06-05,39
2010-06-12,39
2010-06-19,34
2010-06-26,30
2010-07-03,29
2010-07-10,27
2010-07-17,27
2010-07-24,27
2010-07-31,27
2010-08-07,25
2010-08-14,26
2010-08-21,24
2010-08-28,28
2010-09-04,27
2010-09-11,27
2010-09-18,29
2010-09-25,31
2010-10-02,33
2010-10-09,35
2010-10-16,33
2010-10-23,34
2010-10-30,36
2010-11-06,37
2010-11-13,36
2010-11-20,40
2010-11-27,34
2010-12-04,40
2010-12-11,39
2010-12-18,34
2010-12-25,26
2011-01-01,23
2011-01-08,29
2011-01-15,33
2011-01-22,33
2011-01-29,38
2011-02-05,47
2011-02-12,41
2011-02-19,39
2011-02-26,39
2011-03-05,40
2011-03-12,40
2011-03-19,75
2011-03-26,63
2011-04-02,54
2011-04-09,52
2011-04-16,50
2011-04-23,43
2011-04-30,43
2011-05-07,44
2011-05-14,41
2011-05-21,40
2011-05-28,37
2011-06-04,35
2011-06-11,32
2011-06-18,30
2011-06-25,30
2011-07-02,28
2011-07-09,26
2011-07-16,30
2011-07-23,30
2011-07-30,41
2011-08-06,37
2011-08-13,34
2011-08-20,27
2011-08-27,27
2011-09-03,26
2011-09-10,29
2011-09-17,33
2011-09-24,33
2011-10-01,34
2011-10-08,35
2011-10-15,34
2011-10-22,36
2011-10-29,38
2011-11-05,38
2011-11-12,39
2011-11-19,39
2011-11-26,32
2011-12-03,39
2011-12-10,43
2011-12-17,38
2011-12-24,29
2011-12-31,27
2012-01-07,29
2012-01-14,32
2012-01-21,30
2012-01-28,32
2012-02-04,32
2012-02-11,33
2012-02-18,33
2012-02-25,32
2012-03-03,33
2012-03-10,36
2012-03-17,32
2012-03-24,33
2012-03-31,32
2012-04-07,33
2012-04-14,35
2012-04-21,38
2012-04-28,39
2012-05-05,40
2012-05-12,38
2012-05-19,37
2012-05-26,35
2012-06-02,31
2012-06-09,31
2012-06-16,29
2012-06-23,26
2012-06-30,25
2012-07-07,23
2012-07-14,25
2012-07-21,26
2012-07-28,26
2012-08-04,24
2012-08-11,22
2012-08-18,23
2012-08-25,25
2012-09-01,26
2012-09-08,27
2012-09-15,30
2012-09-22,30
2012-09-29,31
2012-10-06,33
2012-10-13,32
2012-10-20,36
2012-10-27,39
2012-11-03,42
2012-11-10,38
2012-11-17,36
2012-11-24,29
2012-12-01,33
2012-12-08,35
2012-12-15,35
2012-12-22,27
2012-12-29,19
2013-01-05,26
2013-01-12,28
2013-01-19,38
2013-01-26,30
2013-02-02,31
2013-02-09,31
2013-02-16,30
2013-02-23,35
2013-03-02,39
2013-03-09,34
2013-03-16,32
2013-03-23,36
2013-03-30,36
2013-04-06,35
2013-04-13,38
2013-04-20,42
2013-04-27,41
2013-05-04,41
2013-05-11,40
2013-05-18,37
2013-05-25,33
2013-06-01,30
2013-06-08,28
2013-06-15,27
2013-06-22,25
2013-06-29,24
2013-07-06,24
2013-07-13,25
2013-07-20,23
2013-07-27,24
2013-08-03,25
2013-08-10,25
2013-08-17,24
2013-08-24,26
2013-08-31,28
2013-09-07,30
2013-09-14,35
2013-09-21,30
2013-09-28,30
2013-10-05,32
2013-10-12,33
2013-10-19,34
2013-10-26,32
2013-11-02,31
2013-11-09,33
2013-11-16,33
2013-11-23,35
2013-11-30,27
2013-12-07,33
2013-12-14,33
2013-12-21,28
2013-12-28,18
2014-01-04,21
