Week,economy
2004-01-10,50
2004-01-17,54
2004-01-24,54
2004-01-31,56
2004-02-07,61
2004-02-14,64
2004-02-21,62
2004-02-28,66
2004-03-06,67
2004-03-13,57
2004-03-20,60
2004-03-27,57
2004-04-03,64
2004-04-10,63
2004-04-17,59
2004-04-24,69
2004-05-01,69
2004-05-08,70
2004-05-15,66
2004-05-22,67
2004-05-29,59
2004-06-05,55
2004-06-12,46
2004-06-19,36
2004-06-26,32
2004-07-03,33
2004-07-10,30
2004-07-17,33
2004-07-24,30
2004-07-31,34
2004-08-07,32
2004-08-14,35
2004-08-21,36
2004-08-28,38
2004-09-04,45
2004-09-11,45
2004-09-18,54
2004-09-25,58
2004-10-02,58
2004-10-09,66
2004-10-16,62
2004-10-23,66
2004-10-30,68
2004-11-06,65
2004-11-13,59
2004-11-20,69
2004-11-27,55
2004-12-04,67
2004-12-11,70
2004-12-18,55
2004-12-25,30
2005-01-01,27
2005-01-08,42
2005-01-15,44
2005-01-22,46
2005-01-29,45
2005-02-05,50
2005-02-12,53
2005-02-19,54
2005-02-26,51
2005-03-05,58
2005-03-12,57
2005-03-19,54
2005-03-26,55
2005-04-02,49
2005-04-09,55
2005-04-16,62
2005-04-23,64
2005-04-30,70
2005-05-07,62
2005-05-14,59
2005-05-21,58
2005-05-28,53
2005-06-04,44
2005-06-11,42
2005-06-18,35
2005-06-25,28
2005-07-02,32
2005-07-09,31
2005-07-16,32
2005-07-23,31
2005-07-30,32
2005-08-06,30
2005-08-13,32
2005-08-20,39
2005-08-27,38
2005-09-03,55
2005-09-10,54
2005-09-17,53
2005-09-24,54
2005-10-01,54
2005-10-08,54
2005-10-15,54
2005-10-22,52
2005-10-29,51
2005-11-05,54
2005-11-12,49
2005-11-19,53
2005-11-26,46
2005-12-03,61
2005-12-10,59
2005-12-17,50
2005-12-24,31
2005-12-31,22
2006-01-07,33
2006-01-14,41
2006-01-21,43
2006-01-28,44
2006-02-04,46
2006-02-11,50
2006-02-18,48
2006-02-25,46
2006-03-04,51
2006-03-11,47
2006-03-18,44
2006-03-25,47
2006-04-01,49
2006-04-08,51
2006-04-15,49
2006-04-22,57
2006-04-29,64
2006-05-06,64
2006-05-13,55
2006-05-20,55
2006-05-27,48
2006-06-03,41
2006-06-10,39
2006-06-17,34
2006-06-24,28
2006-07-01,27
2006-07-08,29
2006-07-15,27
2006-07-22,28
2006-07-29,31
2006-08-05,27
2006-08-12,28
2006-08-19,28
2006-08-26,31
2006-09-02,35
2006-09-09,35
2006-09-16,42
2006-09-23,43
2006-09-30,44
2006-10-07,44
2006-10-14,44
2006-10-21,42
2006-10-28,44
2006-11-04,47
2006-11-11,44
2006-11-18,42
2006-11-25,35
2006-12-02,48
2006-12-09,49
2006-12-16,44
2006-12-23,31
2006-12-30,19
2007-01-06,27
2007-01-13,34
2007-01-20,33
2007-01-27,38
2007-02-03,41
2007-02-10,39
2007-02-17,39
2007-02-24,38
2007-03-03,42
2007-03-10,42
2007-03-17,40
2007-03-24,39
2007-03-31,41
2007-04-07,37
2007-04-14,40
2007-04-21,45
2007-04-28,51
2007-05-05,51
2007-05-12,53
2007-05-19,50
2007-05-26,47
2007-06-02,40
2007-06-09,39
2007-06-16,33
2007-06-23,27
2007-06-30,27
2007-07-07,25
2007-07-14,28
2007-07-21,27
2007-07-28,28
2007-08-04,26
2007-08-11,26
2007-08-18,26
2007-08-25,27
2007-09-01,32
2007-09-08,35
2007-09-15,42
2007-09-22,43
2007-09-29,44
2007-10-06,45
2007-10-13,44
2007-10-20,45
2007-10-27,43
2007-11-03,46
2007-11-10,49
2007-11-17,49
2007-11-24,42
2007-12-01,49
2007-12-08,54
2007-12-15,47
2007-12-22,37
2007-12-29,22
2008-01-05,30
2008-01-12,43
2008-01-19,50
2008-01-26,60
2008-02-02,57
2008-02-09,55
2008-02-16,52
2008-02-23,49
2008-03-01,55
2008-03-08,57
2008-03-15,58
2008-03-22,59
2008-03-29,54
2008-04-05,56
2008-04-12,58
2008-04-19,62
2008-04-26,70
2008-05-03,75
2008-05-10,72
2008-05-17,64
2008-05-24,64
2008-05-31,57
2008-06-07,54
2008-06-14,52
2008-06-21,45
2008-06-28,43
2008-07-05,42
2008-07-12,42
2008-07-19,45
2008-07-26,40
2008-08-02,36
2008-08-09,35
2008-08-16,32
2008-08-23,35
2008-08-30,41
2008-09-06,45
2008-09-13,50
2008-09-20,80
2008-09-27,94
2008-10-04,93
2008-10-11,100
2008-10-18,82
2008-10-25,79
2008-11-01,76
2008-11-08,68
2008-11-15,74
2008-11-22,78
2008-11-29,58
2008-12-06,74
2008-12-13,73
2008-12-20,58
2008-12-27,35
2009-01-03,34
2009-01-10,54
2009-01-17,57
2009-01-24,56
2009-01-31,70
2009-02-07,71
2009-02-14,70
2009-02-21,74
2009-02-28,75
2009-03-07,75
2009-03-14,72
2009-03-21,62
2009-03-28,63
2009-04-04,64
2009-04-11,56
2009-04-18,58
2009-04-25,62
2009-05-02,61
2009-05-09,58
2009-05-16,55
2009-05-23,57
2009-05-30,48
2009-06-06,46
2009-06-13,43
2009-06-20,39
2009-06-27,36
2009-07-04,34
2009-07-11,36
2009-07-18,36
2009-07-25,41
2009-08-01,44
2009-08-08,38
2009-08-15,35
2009-08-22,34
2009-08-29,36
2009-09-05,41
2009-09-12,45
2009-09-19,50
2009-09-26,50
2009-10-03,50
2009-10-10,49
2009-10-17,49
2009-10-24,49
2009-10-31,50
2009-11-07,49
2009-11-14,51
2009-11-21,52
2009-11-28,39
2009-12-05,54
2009-12-12,52
2009-12-19,47
2009-12-26,24
2010-01-02,24
2010-01-09,37
2010-01-16,41
2010-01-23,42
2010-01-30,47
2010-02-06,45
2010-02-13,46
2010-02-20,44
2010-02-27,48
2010-03-06,49
2010-03-13,48
2010-03-20,45
2010-03-27,47
2010-04-03,42
2010-04-10,43
2010-04-17,50
2010-04-24,50
2010-05-01,53
2010-05-08,54
2010-05-15,50
2010-05-22,47
2010-05-29,43
2010-06-05,36
2010-06-12,34
2010-06-19,30
2010-06-26,26
2010-07-03,28
2010-07-10,26
2010-07-17,28
2010-07-24,29
2010-07-31,29
2010-08-07,26
2010-08-14,29
2010-08-21,31
2010-08-28,34
2010-09-04,38
2010-09-11,38
2010-09-18,41
2010-09-25,43
2010-10-02,42
2010-10-09,44
2010-10-16,40
2010-10-23,42
2010-10-30,43
2010-11-06,46
2010-11-13,44
2010-11-20,45
2010-11-27,32
2010-12-04,47
2010-12-11,47
2010-12-18,39
2010-12-25,24
2011-01-01,22
2011-01-08,37
2011-01-15,39
2011-01-22,41
2011-01-29,46
2011-02-05,43
2011-02-12,45
2011-02-19,47
2011-02-26,44
2011-03-05,49
2011-03-12,50
2011-03-19,45
2011-03-26,45
2011-04-02,48
2011-04-09,47
2011-04-16,52
2011-04-23,47
2011-04-30,53
2011-05-07,53
2011-05-14,49
2011-05-21,47
2011-05-28,44
2011-06-04,41
2011-06-11,40
2011-06-18,38
2011-06-25,35
2011-07-02,33
2011-07-09,31
2011-07-16,34
2011-07-23,33
2011-07-30,35
2011-08-06,40
2011-08-13,43
2011-08-20,36
2011-08-27,38
2011-09-03,40
2011-09-10,43
2011-09-17,50
2011-09-24,52
2011-10-01,51
2011-10-08,49
2011-10-15,49
2011-10-22,49
2011-10-29,50
2011-11-05,50
2011-11-12,48
2011-11-19,51
2011-11-26,39
2011-12-03,51
2011-12-10,51
2011-12-17,47
2011-12-24,29
2011-12-31,24
2012-01-07,34
2012-01-14,38
2012-01-21,41
2012-01-28,45
2012-02-04,45
2012-02-11,46
2012-02-18,45
2012-02-25,45
2012-03-03,49
2012-03-10,46
2012-03-17,42
2012-03-24,43
2012-03-31,45
2012-04-07,41
2012-04-14,45
2012-04-21,48
2012-04-28,50
2012-05-05,52
2012-05-12,48
2012-05-19,47
2012-05-26,43
2012-06-02,38
2012-06-09,39
2012-06-16,35
2012-06-23,32
2012-06-30,31
2012-07-07,28
2012-07-14,31
2012-07-21,32
2012-07-28,31
2012-08-04,28
2012-08-11,28
2012-08-18,32
2012-08-25,34
2012-09-01,41
2012-09-08,49
2012-09-15,52
2012-09-22,49
2012-09-29,50
2012-10-06,52
2012-10-13,48
2012-10-20,51
2012-10-27,51
2012-11-03,48
2012-11-10,57
2012-11-17,50
2012-11-24,34
2012-12-01,46
2012-12-08,48
2012-12-15,45
2012-12-22,33
2012-12-29,19
2013-01-05,27
2013-01-12,37
2013-01-19,39
2013-01-26,39
2013-02-02,45
2013-02-09,43
2013-02-16,44
2013-02-23,43
2013-03-02,46
2013-03-09,46
2013-03-16,40
2013-03-23,43
2013-03-30,38
2013-04-06,40
2013-04-13,46
2013-04-20,44
2013-04-27,46
2013-05-04,49
2013-05-11,45
2013-05-18,43
2013-05-25,41
2013-06-01,36
2013-06-08,35
2013-06-15,30
2013-06-22,27
2013-06-29,28
2013-07-06,26
2013-07-13,27
2013-07-20,27
2013-07-27,29
2013-08-03,28
2013-08-10,25
2013-08-17,27
2013-08-24,31
2013-08-31,37
2013-09-07,38
2013-09-14,45
2013-09-21,44
2013-09-28,46
2013-10-05,46
2013-10-12,46
2013-10-19,43
2013-10-26,45
2013-11-02,43
2013-11-09,44
2013-11-16,43
2013-11-23,44
2013-11-30,32
2013-12-07,44
2013-12-14,45
2013-12-21,37
2013-12-28,21
2014-01-04,23
