Week,tourism
2004-01-10,80
2004-01-17,83
2004-01-24,80
2004-01-31,79
2004-02-07,76
2004-02-14,85
2004-02-21,88
2004-02-28,87
2004-03-06,93
2004-03-13,84
2004-03-20,92
2004-03-27,88
2004-04-03,91
2004-04-10,83
2004-04-17,83
2004-04-24,89
2004-05-01,82
2004-05-08,85
2004-05-15,92
2004-05-22,90
2004-05-29,100
2004-06-05,88
2004-06-12,91
2004-06-19,90
2004-06-26,93
2004-07-03,95
2004-07-10,97
2004-07-17,88
2004-07-24,89
2004-07-31,90
2004-08-07,81
2004-08-14,81
2004-08-21,74
2004-08-28,73
2004-09-04,74
2004-09-11,66
2004-09-18,67
2004-09-25,65
2004-10-02,68
2004-10-09,67
2004-10-16,63
2004-10-23,62
2004-10-30,60
2004-11-06,59
2004-11-13,55
2004-11-20,62
2004-11-27,54
2004-12-04,56
2004-12-11,52
2004-12-18,51
2004-12-25,50
2005-01-01,63
2005-01-08,63
2005-01-15,68
2005-01-22,64
2005-01-29,64
2005-02-05,69
2005-02-12,69
2005-02-19,74
2005-02-26,67
2005-03-05,72
2005-03-12,75
2005-03-19,73
2005-03-26,76
2005-04-02,73
2005-04-09,70
2005-04-16,70
2005-04-23,72
2005-04-30,75
2005-05-07,71
2005-05-14,73
2005-05-21,75
2005-05-28,81
2005-06-04,74
2005-06-11,76
2005-06-18,73
2005-06-25,76
2005-07-02,78
2005-07-09,81
2005-07-16,75
2005-07-23,73
2005-07-30,67
2005-08-06,69
2005-08-13,65
2005-08-20,60
2005-08-27,55
2005-09-03,52
2005-09-10,49
2005-09-17,49
2005-09-24,52
2005-10-01,52
2005-10-08,53
2005-10-15,53
2005-10-22,50
2005-10-29,48
2005-11-05,52
2005-11-12,48
2005-11-19,49
2005-11-26,43
2005-12-03,44
2005-12-10,41
2005-12-17,39
2005-12-24,37
2005-12-31,46
2006-01-07,50
2006-01-14,55
2006-01-21,52
2006-01-28,52
2006-02-04,54
2006-02-11,50
2006-02-18,54
2006-02-25,55
2006-03-04,57
2006-03-11,59
2006-03-18,59
2006-03-25,59
2006-04-01,56
2006-04-08,57
2006-04-15,56
2006-04-22,58
2006-04-29,58
2006-05-06,56
2006-05-13,57
2006-05-20,57
2006-05-27,61
2006-06-03,61
2006-06-10,59
2006-06-17,61
2006-06-24,63
2006-07-01,66
2006-07-08,63
2006-07-15,58
2006-07-22,58
2006-07-29,53
2006-08-05,54
2006-08-12,49
2006-08-19,49
2006-08-26,47
2006-09-02,46
2006-09-09,40
2006-09-16,39
2006-09-23,42
2006-09-30,44
2006-10-07,44
2006-10-14,42
2006-10-21,42
2006-10-28,38
2006-11-04,41
2006-11-11,38
2006-11-18,38
2006-11-25,34
2006-12-02,35
2006-12-09,36
2006-12-16,34
2006-12-23,34
2006-12-30,38
2007-01-06,43
2007-01-13,46
2007-01-20,43
2007-01-27,42
2007-02-03,42
2007-02-10,39
2007-02-17,43
2007-02-24,46
2007-03-03,46
2007-03-10,47
2007-03-17,49
2007-03-24,51
2007-03-31,49
2007-04-07,48
2007-04-14,46
2007-04-21,48
2007-04-28,49
2007-05-05,47
2007-05-12,50
2007-05-19,51
2007-05-26,54
2007-06-02,51
2007-06-09,51
2007-06-16,50
2007-06-23,51
2007-06-30,51
2007-07-07,53
2007-07-14,50
2007-07-21,49
2007-07-28,50
2007-08-04,47
2007-08-11,48
2007-08-18,41
2007-08-25,40
2007-09-01,41
2007-09-08,38
2007-09-15,35
2007-09-22,39
2007-09-29,37
2007-10-06,39
2007-10-13,37
2007-10-20,36
2007-10-27,35
2007-11-03,32
2007-11-10,33
2007-11-17,32
2007-11-24,28
2007-12-01,33
2007-12-08,30
2007-12-15,27
2007-12-22,26
2007-12-29,31
2008-01-05,34
2008-01-12,37
2008-01-19,37
2008-01-26,36
2008-02-02,38
2008-02-09,37
2008-02-16,38
2008-02-23,40
2008-03-01,42
2008-03-08,40
2008-03-15,39
2008-03-22,39
2008-03-29,40
2008-04-05,41
2008-04-12,41
2008-04-19,39
2008-04-26,43
2008-05-03,41
2008-05-10,40
2008-05-17,43
2008-05-24,44
2008-05-31,39
2008-06-07,39
2008-06-14,38
2008-06-21,41
2008-06-28,44
2008-07-05,43
2008-07-12,41
2008-07-19,42
2008-07-26,40
2008-08-02,41
2008-08-09,39
2008-08-16,35
2008-08-23,33
2008-08-30,34
2008-09-06,30
2008-09-13,31
2008-09-20,31
2008-09-27,31
2008-10-04,30
2008-10-11,33
2008-10-18,29
2008-10-25,29
2008-11-01,28
2008-11-08,26
2008-11-15,28
2008-11-22,28
2008-11-29,25
2008-12-06,26
2008-12-13,25
2008-12-20,23
2008-12-27,23
2009-01-03,28
2009-01-10,31
2009-01-17,35
2009-01-24,31
2009-01-31,32
2009-02-07,33
2009-02-14,33
2009-02-21,33
2009-02-28,33
2009-03-07,36
2009-03-14,37
2009-03-21,37
2009-03-28,35
2009-04-04,37
2009-04-11,36
2009-04-18,35
2009-04-25,37
2009-05-02,37
2009-05-09,38
2009-05-16,40
2009-05-23,43
2009-05-30,41
2009-06-06,39
2009-06-13,41
2009-06-20,40
2009-06-27,39
2009-07-04,40
2009-07-11,39
2009-07-18,40
2009-07-25,38
2009-08-01,37
2009-08-08,36
2009-08-15,34
2009-08-22,32
2009-08-29,31
2009-09-05,32
2009-09-12,30
2009-09-19,31
2009-09-26,32
2009-10-03,33
2009-10-10,32
2009-10-17,31
2009-10-24,30
2009-10-31,28
2009-11-07,28
2009-11-14,29
2009-11-21,28
2009-11-28,26
2009-12-05,27
2009-12-12,25
2009-12-19,23
2009-12-26,22
2010-01-02,27
2010-01-09,30
2010-01-16,33
2010-01-23,31
2010-01-30,30
2010-02-06,30
2010-02-13,30
2010-02-20,33
2010-02-27,32
2010-03-06,34
2010-03-13,35
2010-03-20,36
2010-03-27,35
2010-04-03,35
2010-04-10,33
2010-04-17,35
2010-04-24,36
2010-05-01,36
2010-05-08,37
2010-05-15,36
2010-05-22,38
2010-05-29,36
2010-06-05,35
2010-06-12,36
2010-06-19,35
2010-06-26,33
2010-07-03,34
2010-07-10,32
2010-07-17,31
2010-07-24,30
2010-07-31,27
2010-08-07,25
2010-08-14,25
2010-08-21,24
2010-08-28,23
2010-09-04,23
2010-09-11,22
2010-09-18,22
2010-09-25,21
2010-10-02,21
2010-10-09,21
2010-10-16,21
2010-10-23,21
2010-10-30,19
2010-11-06,19
2010-11-13,19
2010-11-20,19
2010-11-27,16
2010-12-04,17
2010-12-11,17
2010-12-18,16
2010-12-25,14
2011-01-01,16
2011-01-08,19
2011-01-15,19
2011-01-22,20
2011-01-29,20
2011-02-05,18
2011-02-12,20
2011-02-19,22
2011-02-26,20
2011-03-05,22
2011-03-12,22
2011-03-19,21
2011-03-26,23
2011-04-02,21
2011-04-09,21
2011-04-16,22
2011-04-23,22
2011-04-30,21
2011-05-07,21
2011-05-14,23
2011-05-21,24
2011-05-28,23
2011-06-04,23
2011-06-11,23
2011-06-18,22
2011-06-25,23
2011-07-02,24
2011-07-09,23
2011-07-16,24
2011-07-23,23
2011-07-30,22
2011-08-06,21
2011-08-13,21
2011-08-20,18
2011-08-27,18
2011-09-03,18
2011-09-10,17
2011-09-17,17
2011-09-24,19
2011-10-01,17
2011-10-08,18
2011-10-15,22
2011-10-22,18
2011-10-29,17
2011-11-05,17
2011-11-12,16
2011-11-19,16
2011-11-26,13
2011-12-03,15
2011-12-10,15
2011-12-17,15
2011-12-24,12
2011-12-31,15
2012-01-07,17
2012-01-14,18
2012-01-21,17
2012-01-28,18
2012-02-04,18
2012-02-11,17
2012-02-18,18
2012-02-25,19
2012-03-03,19
2012-03-10,19
2012-03-17,19
2012-03-24,19
2012-03-31,19
2012-04-07,19
2012-04-14,18
2012-04-21,20
2012-04-28,20
2012-05-05,20
2012-05-12,20
2012-05-19,21
2012-05-26,21
2012-06-02,20
2012-06-09,19
2012-06-16,19
2012-06-23,20
2012-06-30,19
2012-07-07,19
2012-07-14,19
2012-07-21,18
2012-07-28,18
2012-08-04,17
2012-08-11,16
2012-08-18,15
2012-08-25,15
2012-09-01,15
2012-09-08,16
2012-09-15,15
2012-09-22,14
2012-09-29,15
2012-10-06,14
2012-10-13,14
2012-10-20,13
2012-10-27,13
2012-11-03,12
2012-11-10,13
2012-11-17,13
2012-11-24,11
2012-12-01,13
2012-12-08,12
2012-12-15,12
2012-12-22,10
2012-12-29,11
2013-01-05,13
2013-01-12,14
2013-01-19,14
2013-01-26,14
2013-02-02,15
2013-02-09,15
2013-02-16,15
2013-02-23,15
2013-03-02,16
2013-03-09,17
2013-03-16,17
2013-03-23,17
2013-03-30,16
2013-04-06,17
2013-04-13,17
2013-04-20,16
2013-04-27,17
2013-05-04,16
2013-05-11,17
2013-05-18,17
2013-05-25,18
2013-06-01,16
2013-06-08,16
2013-06-15,16
2013-06-22,16
2013-06-29,16
2013-07-06,17
2013-07-13,16
2013-07-20,16
2013-07-27,16
2013-08-03,16
2013-08-10,16
2013-08-17,14
2013-08-24,14
2013-08-31,14
2013-09-07,13
2013-09-14,13
2013-09-21,13
2013-09-28,14
2013-10-05,15
2013-10-12,14
2013-10-19,13
2013-10-26,13
2013-11-02,12
2013-11-09,13
2013-11-16,13
2013-11-23,12
2013-11-30,11
2013-12-07,11
2013-12-14,11
2013-12-21,10
2013-12-28,10
2014-01-04,13
